Implication	Statistic(s)	P-value(s)
CLDN7 low => KDR low	2.041241452319315	0.0
CLDN7 high => ANXA1 low	2.53546276418555	0.0
DIABLO low => CTNNB1 low	2.2841609628806427	0.0
PIK3R2 low => PIK3R1 low	2.1081851067789197	0.0
PIK3R2 high => PIK3R1 high	2.1081851067789197	0.0
PIK3R2 low => PIK3R1 low AND PIK3R2 high => PIK3R1 high	2.1081851067789197,2.1081851067789197	0.0,0.0
GATA3 high => NF2 high	2.0519567041703084	0.0
GATA3 low => LCK high	2.335496832484569	0.0
GATA3 high => LCK low	2.335496832484569	0.0
GATA3 low => LCK high AND GATA3 high => LCK low	2.335496832484569,2.335496832484569	0.0,0.0
GATA3 high => RPS6KB1 high	2.1264381322847794	0.0
PIK3R1 low => PIK3R2 low	2.1081851067789197	0.0
PIK3R1 high => PIK3R2 high	2.1081851067789197	0.0
PIK3R1 low => PIK3R2 low AND PIK3R1 high => PIK3R2 high	2.1081851067789197,2.1081851067789197	0.0,0.0
CCNB1 low => MSH6 low	2.2067091374694816	0.0
CCNB1 low => FOXM1 low	2.255428234668337	0.0
CCNB1 low => COL6A1 high	2.701351013344489	0.0
CCNB1 high => RPS6KB1 high	2.0	0.0
TP53BP1 low => XRCC5 low	2.176428750330035	0.0
TP53BP1 high => XRCC5 high	2.176428750330035	0.0
TP53BP1 low => XRCC5 low AND TP53BP1 high => XRCC5 high	2.176428750330035,2.176428750330035	0.0,0.0
TP53BP1 low => ANXA1 high	2.345207879911715	0.0
TP53BP1 high => ANXA1 low	2.345207879911715	0.0
TP53BP1 low => ANXA1 high AND TP53BP1 high => ANXA1 low	2.345207879911715,2.345207879911715	0.0,0.0
STAT5A high => XRCC5 high	2.121320343559643	0.0
XRCC5 low => TP53BP1 low	2.176428750330035	0.0
XRCC5 high => TP53BP1 high	2.176428750330035	0.0
XRCC5 low => TP53BP1 low AND XRCC5 high => TP53BP1 high	2.176428750330035,2.176428750330035	0.0,0.0
XRCC5 low => STAT5A low	2.121320343559643	0.0
CAV1 low => COL6A1 low	2.8336216692963587	0.0
CAV1 high => COL6A1 high	2.8336216692963587	0.0
CAV1 low => COL6A1 low AND CAV1 high => COL6A1 high	2.8336216692963587,2.8336216692963587	0.0,0.0
BRAF low => ANXA1 high	2.4494897427831783	0.0
BRAF low => GAB2 low	2.057983021710106	0.0
BRAF high => GAB2 high	2.057983021710106	0.0
BRAF low => GAB2 low AND BRAF high => GAB2 high	2.057983021710106,2.057983021710106	0.0,0.0
NF2 low => GATA3 low	2.0519567041703084	0.0
FOXM1 high => CCNB1 high	2.255428234668337	0.0
CASP7 low => LCK low	2.2248595461286986	0.0
CASP7 high => LCK high	2.2248595461286986	0.0
CASP7 low => LCK low AND CASP7 high => LCK high	2.2248595461286986,2.2248595461286986	0.0,0.0
ANXA1 high => ETS1 high	2.280350850198276	0.0
ANXA1 high => CLDN7 low	2.53546276418555	0.0
ANXA1 low => TP53BP1 high	2.345207879911715	0.0
ANXA1 high => TP53BP1 low	2.345207879911715	0.0
ANXA1 low => TP53BP1 high AND ANXA1 high => TP53BP1 low	2.345207879911715,2.345207879911715	0.0,0.0
ANXA1 low => BRAF high	2.4494897427831783	0.0
ANXA1 high => LCK high	2.215646837627989	0.0
SYK high => LCK high	2.0310096011589898	0.0
GAB2 low => BRAF low	2.057983021710106	0.0
GAB2 high => BRAF high	2.057983021710106	0.0
GAB2 low => BRAF low AND GAB2 high => BRAF high	2.057983021710106,2.057983021710106	0.0,0.0
LCK high => CDH1 low	2.121320343559643	0.0
LCK low => GATA3 high	2.335496832484569	0.0
LCK high => GATA3 low	2.335496832484569	0.0
LCK low => GATA3 high AND LCK high => GATA3 low	2.335496832484569,2.335496832484569	0.0,0.0
LCK low => CASP7 low	2.2248595461286986	0.0
LCK high => CASP7 high	2.2248595461286986	0.0
LCK low => CASP7 low AND LCK high => CASP7 high	2.2248595461286986,2.2248595461286986	0.0,0.0
LCK low => ANXA1 low	2.215646837627989	0.0
LCK low => SYK low	2.0310096011589898	0.0
COL6A1 low => CCNB1 high	2.701351013344489	0.0
COL6A1 low => CAV1 low	2.8336216692963587	0.0
COL6A1 high => CAV1 high	2.8336216692963587	0.0
COL6A1 low => CAV1 low AND COL6A1 high => CAV1 high	2.8336216692963587,2.8336216692963587	0.0,0.0
RPS6KB1 low => GATA3 low	2.1264381322847794	0.0
RPS6KB1 low => CCNB1 low	2.0	0.0
CTNNB1 low => CDH1 low	3.4270513347575977	0.0
CTNNB1 high => CDH1 high	3.4270513347575977	0.0
CTNNB1 low => CDH1 low AND CTNNB1 high => CDH1 high	3.4270513347575977,3.4270513347575977	0.0,0.0
CTNNB1 high => KDR high	2.23606797749979	0.0
CTNNB1 high => DIABLO high	2.2841609628806427	0.0
