Implication	Statistic(s)	P-value(s)
BRCA2 high => ERCC1 low	3.8060102844992794	0.0
CASP9 high => PARK7 high	2.806243040080456	0.0
CASP7 low => PTEN low	2.939098139283618	0.0
TUBA1B high => STMN1 high	4.146948649138491	0.0
TUBA1B high => CCNE1 high	4.347413023856832	0.0
TUBA1B high => DIABLO high	2.6711673731039647	0.0
TUBA1B low => PRDX1 low	3.155542236844666	0.0
TUBA1B low => YBX1 low	2.779797245712847	0.0
TUBA1B low => RAD51 low	4.463947722396924	0.0
RBM15 low => RICTOR low	3.2249030993194197	0.0
ARID1A high => BRAF high	2.9468984587725093	0.0
ARID1A high => GSK3B high	2.91547594742265	0.0
ARID1A high => VHL high	2.9059326290271157	0.0
ARID1A low => MTOR low	3.2015621187164243	0.0
YWHAZ low => MAPK1 low	2.821202522590214	0.0
PIK3CA high => PARK7 low	3.4355900058832094	0.0
PIK3CA high => BCL2L11 high	3.1476486950884954	0.0
PIK3CA low => SMAD4 low	2.6950246556825492	0.0
PIK3CA high => PTEN high	3.283481384140924	0.0
PIK3CA high => BIRC2 high	3.222516933177448	0.0
PIK3CA high => RAB25 low	3.8297084310253524	0.0
PIK3CA high => RAD50 high	2.6940795304016234	0.0
PIK3CA high => ERCC1 low	2.6457513110645903	0.0
PIK3CA high => BAX low	3.8540444388441304	0.0
PIK3CA low => CTNNB1 low	2.908872369413698	0.0
PECAM1 low => ETS1 low	5.441685428110253	0.0
PECAM1 low => ACVRL1 low	5.9225774015138954	0.0
BIRC2 high => MRE11 high	3.8612291966536914	0.0
BIRC2 high => PARK7 low	2.879144609812179	0.0
BIRC2 low => G6PD high	2.5617376914898995	0.0
BIRC2 high => BRAF high	2.662876093795784	0.0
BIRC2 low => ATM low	4.162204183118823	0.0
BIRC2 high => ATM high	4.162204183118823	0.0
BIRC2 low => ATM low AND BIRC2 high => ATM high	4.162204183118823,4.162204183118823	0.0,0.0
BIRC2 high => PTEN high	2.5468581598680533	0.0
BIRC2 low => PIK3CA low	3.222516933177448	0.0
BIRC2 low => YAP1 low	4.1213728641939555	0.0
BIRC2 high => YAP1 high	4.1213728641939555	0.0
BIRC2 low => YAP1 low AND BIRC2 high => YAP1 high	4.1213728641939555,4.1213728641939555	0.0,0.0
BIRC2 low => VHL low	2.8762349126466136	0.0
BIRC2 high => RAB11B low	2.792848008753788	0.0
YAP1 low => BIRC2 low	4.1213728641939555	0.0
YAP1 high => BIRC2 high	4.1213728641939555	0.0
YAP1 low => BIRC2 low AND YAP1 high => BIRC2 high	4.1213728641939555,4.1213728641939555	0.0,0.0
YAP1 high => CTNNB1 high	3.865151218179431	0.0
BECN1 high => NOTCH1 low	2.537523278759015	0.0
NRAS low => SQSTM1 high	2.90267668108138	0.0
NRAS high => GSK3B high	3.2071349029490928	0.0
NRAS low => MAPK14 low	2.6867731575255847	0.0
NRAS high => MAPK14 high	2.6867731575255847	0.0
NRAS low => MAPK14 low AND NRAS high => MAPK14 high	2.6867731575255847,2.6867731575255847	0.0,0.0
RAB25 high => MAP2K1 low	2.9059326290271157	0.0
RAB25 high => PTEN low	3.194323669214456	0.0
RAB25 high => PIK3CA low	3.8297084310253524	0.0
RAB25 low => ERCC1 low	3.4075080500434787	0.0
MAPK1 high => XRCC1 low	2.68741924943285	0.0
MAPK1 high => YWHAZ high	2.821202522590214	0.0
MAPK1 high => EIF4E high	2.5819888974716116	0.0
RICTOR low => MSH2 low	2.6413527189768717	0.0
RICTOR low => SMAD4 low	2.8627123416821876	0.0
RICTOR high => RBM15 high	3.2249030993194197	0.0
VHL high => MSH6 high	2.6357861106418765	0.0
VHL low => TP53BP1 low	3.464101615137755	0.0
VHL high => GSK3B high	3.177444546511213	0.0
VHL high => YBX1 low	2.889260474058461	0.0
VHL low => ARID1A low	2.9059326290271157	0.0
VHL high => BIRC2 high	2.8762349126466136	0.0
VHL low => RAD50 low	3.110100846070312	0.0
BID low => YBX1 low	3.293790613225678	0.0
EIF4E low => MAPK1 low	2.5819888974716116	0.0
EIF4E high => ERCC1 low	2.656844656620286	0.0
MAPK14 low => NRAS low	2.6867731575255847	0.0
MAPK14 high => NRAS high	2.6867731575255847	0.0
MAPK14 low => NRAS low AND MAPK14 high => NRAS high	2.6867731575255847,2.6867731575255847	0.0,0.0
MAPK14 low => ERCC1 high	2.5596335944683632	0.0
MAPK14 high => ERCC1 low	2.5596335944683632	0.0
MAPK14 low => ERCC1 high AND MAPK14 high => ERCC1 low	2.5596335944683632,2.5596335944683632	0.0,0.0
MTOR low => BCL2L11 low	2.893456933022473	0.0
MTOR high => GSK3B high	2.9925834249951255	0.0
MTOR high => ARID1A high	3.2015621187164243	0.0
MTOR high => RAB11B low	2.844823941092656	0.0
RAB11B high => STK11 high	4.466744589621805	0.0
RAB11B low => MSH2 high	2.7497228241690284	0.0
RAB11B high => MSH2 low	2.7497228241690284	0.0
RAB11B low => MSH2 high AND RAB11B high => MSH2 low	2.7497228241690284,2.7497228241690284	0.0,0.0
RAB11B low => SMAD1 high	2.5819888974716116	0.0
RAB11B low => XRCC1 low	2.7434131641941364	0.0
RAB11B high => BIRC2 low	2.792848008753788	0.0
RAB11B high => MTOR low	2.844823941092656	0.0
RAB11B low => RAD50 high	3.634511991912372	0.0
RAD50 high => MSH6 high	2.8154625318573645	0.0
RAD50 low => TP53BP1 low	3.559026084010437	0.0
RAD50 high => ACVRL1 low	3.496029493900505	0.0
RAD50 low => PIK3CA low	2.6940795304016234	0.0
RAD50 high => VHL high	3.110100846070312	0.0
RAD50 low => RAB11B high	3.634511991912372	0.0
RAD50 low => CTNNB1 low	2.5071326821120348	0.0
RAD51 high => CHEK1 high	5.046083923495819	0.0
RAD51 high => TUBA1B high	4.463947722396924	0.0
ERCC1 low => MSH2 high	2.958039891549808	0.0
ERCC1 high => BCL2L11 low	2.541325113662818	0.0
ERCC1 high => GSK3B low	2.943920288775949	0.0
ERCC1 high => BRCA2 low	3.8060102844992794	0.0
ERCC1 high => PIK3CA low	2.6457513110645903	0.0
ERCC1 high => RAB25 high	3.4075080500434787	0.0
ERCC1 high => EIF4E low	2.656844656620286	0.0
ERCC1 low => MAPK14 high	2.5596335944683632	0.0
ERCC1 high => MAPK14 low	2.5596335944683632	0.0
ERCC1 low => MAPK14 high AND ERCC1 high => MAPK14 low	2.5596335944683632,2.5596335944683632	0.0,0.0
BAX low => MSH6 high	3.016620625799671	0.0
BAX high => MSH6 low	3.016620625799671	0.0
BAX low => MSH6 high AND BAX high => MSH6 low	3.016620625799671,3.016620625799671	0.0,0.0
BAX high => TP53BP1 low	3.385309064224042	0.0
BAX high => SMAD4 low	3.098386676965933	0.0
BAX high => PIK3CA low	3.8540444388441304	0.0
BAX high => CTNNB1 low	3.3028912953790814	0.0
CTNNB1 low => MRE11 low	2.727977357881894	0.0
CTNNB1 high => PIK3CA high	2.908872369413698	0.0
CTNNB1 low => YAP1 low	3.865151218179431	0.0
CTNNB1 high => RAD50 high	2.5071326821120348	0.0
CTNNB1 high => BAX low	3.3028912953790814	0.0
